Date,Product_Name,Units_sold,Price,Revenue,Costs_Of_Goods,Marketing_Cost,Logistic_Cost,Other_Cost,Total_Cost,Net_Profit,Operating_Expenses,Initial_Investment,Current_Cash
2020-12-03,product1,9,70328,632952,351312,17615,30818,25258,425003,207949,67532,10000000,50000
2020-10-07,product2,5,23573,117865,63291,2651,6010,4803,76755,41110,14785,10000000,50000
2020-04-12,product3,1,16124,16124,9099,799,1163,734,11795,4329,1340,10000000,50000
2020-08-23,product4,2,55239,110478,62973,4338,7523,3082,77916,32562,8063,10000000,50000
2020-07-31,product5,8,17235,137880,79062,6114,7882,4964,98022,39858,17254,10000000,50000
2020-08-05,product6,4,7722,30888,21516,567,1985,1161,25229,5659,2696,10000000,50000
2020-10-16,product7,3,57431,172293,95814,6451,7997,5558,115820,56473,17913,10000000,50000
2020-12-30,product8,6,76552,459312,262339,7591,28750,22394,321074,138238,62258,10000000,50000
2020-09-30,product9,7,40410,282870,183077,4607,19427,8708,215819,67051,39602,10000000,50000
2020-12-09,product10,6,26973,161838,101309,7939,7540,7865,124653,37185,20057,10000000,50000
2020-07-27,product11,5,82665,413325,222628,19533,30349,19509,292019,121306,29505,10000000,50000
2020-01-10,product12,6,96070,576420,354232,11123,41455,22144,428954,147466,70612,10000000,50000
2020-10-09,product13,7,20910,146370,94391,5659,5096,3817,108963,37407,16282,10000000,50000
2020-06-05,product14,7,47686,333802,188250,13312,25335,12326,239223,94579,43850,10000000,50000
2020-02-13,product15,4,54273,217092,134274,6528,11377,7356,159535,57557,25773,10000000,50000
2020-12-08,product16,8,57928,463424,267558,11023,27391,15330,321302,142122,35413,10000000,50000
2020-09-20,product17,9,34897,314073,218792,10177,12135,10744,251848,62225,37855,10000000,50000
2020-06-04,product18,8,87598,700784,356140,11291,55090,30993,453514,247270,72639,10000000,50000
2020-11-15,product19,9,88463,796167,513570,18874,48805,37820,619069,177098,74170,10000000,50000
2020-05-23,product20,5,10823,54115,31661,1099,1752,1879,36391,17724,4531,10000000,50000
2020-03-11,product21,4,24156,96624,57047,3516,7202,2531,70296,26328,10386,10000000,50000
2020-07-02,product22,3,77956,233868,123092,5152,10760,11200,150204,83664,28989,10000000,50000
2020-05-25,product23,8,81274,650192,334057,29753,41391,30437,435638,214554,59604,10000000,50000
2020-08-10,product24,4,26187,104748,73268,4307,6650,5176,89401,15347,12003,10000000,50000
2020-05-27,product25,7,12432,87024,60239,4177,3498,3968,71882,15142,10834,10000000,50000
2020-10-19,product26,3,34421,103263,57455,5127,5430,3836,71848,31415,12890,10000000,50000
2020-02-23,product27,7,30211,211477,109605,10536,14398,4308,138847,72630,22380,10000000,50000
2020-04-25,product28,2,96494,192988,129291,6789,7469,4135,147684,45304,25258,10000000,50000
2020-12-30,product29,5,79950,399750,222042,15141,15862,10760,263805,135945,48274,10000000,50000
2020-03-13,product30,8,26355,210840,120433,10415,12644,10457,153949,56891,23661,10000000,50000
2020-10-16,product31,10,99868,998680,554324,24513,47725,21521,648083,350597,104978,10000000,50000
2020-04-05,product32,9,74070,666630,461553,15206,31255,22790,530804,135826,93085,10000000,50000
2020-12-02,product33,4,71974,287896,156821,11097,14966,14304,197188,90708,23922,10000000,50000
2020-08-12,product34,10,37896,378960,250052,12032,15845,11574,289503,89457,54028,10000000,50000
2020-10-27,product35,2,95364,190728,128643,7610,13652,7835,157740,32988,28443,10000000,50000
2020-08-30,product36,2,41786,83572,43147,3109,6611,3119,55986,27586,7929,10000000,50000
2020-04-06,product37,7,8253,57771,38072,2524,4458,1957,47011,10760,4867,10000000,50000
2020-06-19,product38,6,71720,430320,292203,10618,17304,15116,335241,95079,57822,10000000,50000
2020-10-20,product39,3,46770,140310,79021,2907,6614,4251,92793,47517,11475,10000000,50000
2020-09-19,product40,1,92273,92273,56050,1540,6006,2032,65628,26645,8166,10000000,50000
2020-07-09,product41,5,99438,497190,310637,13321,27711,19529,371198,125992,47320,10000000,50000
2020-05-25,product42,3,94721,284163,154424,5288,18362,9089,187163,97000,36701,10000000,50000
2020-02-22,product43,1,35526,35526,23750,1494,2564,1670,29478,6048,5289,10000000,50000
2020-05-11,product44,5,33204,166020,93694,5839,10134,6792,116459,49561,16509,10000000,50000
2020-04-21,product45,10,69500,695000,429253,15870,37162,14407,496692,198308,91241,10000000,50000
2020-05-03,product46,8,55058,440464,237968,13756,28902,16803,297429,143035,36112,10000000,50000
2020-07-04,product47,5,49384,246920,126247,6015,19240,5384,156886,90034,28936,10000000,50000
2020-11-18,product48,10,76613,766130,421421,23142,32284,22092,498939,267191,93236,10000000,50000
2020-05-02,product49,4,39222,156888,109425,3683,11746,5524,130378,26510,16610,10000000,50000
2020-05-10,product50,7,89418,625926,428834,14459,26160,18027,487480,138446,53389,10000000,50000
2020-03-19,product51,4,90726,362904,215647,11938,19482,8027,255094,107810,45884,10000000,50000
2020-01-04,product52,9,54055,486495,247801,22141,34751,20386,325079,161416,48855,10000000,50000
2020-01-16,product53,8,47369,378952,250733,17001,19816,14829,302379,76573,57267,10000000,50000
2020-12-28,product54,7,61720,432040,246720,17583,29079,14115,307497,124543,44744,10000000,50000
2020-10-01,product55,4,47399,189596,118102,3015,7354,5298,133769,55827,17252,10000000,50000
2020-07-18,product56,9,98789,889101,559185,28947,51276,44025,683433,205668,95012,10000000,50000
2020-09-04,product57,6,89696,538176,300805,18058,25277,20994,365134,173042,60744,10000000,50000
2020-06-08,product58,5,22664,113320,63944,5268,4963,3712,77887,35433,12603,10000000,50000
2020-08-01,product59,2,45503,91006,59225,3286,5048,3497,71056,19950,13676,10000000,50000
2020-08-24,product60,10,87606,876060,520063,36439,51971,39021,647494,228566,107750,10000000,50000
2020-01-15,product61,3,33377,100131,58025,4327,4093,3173,69618,30513,7737,10000000,50000
2020-03-03,product62,5,99341,496705,296641,16157,16376,23060,352234,144471,61651,10000000,50000
2020-12-06,product63,3,15415,46245,24716,1815,3376,1638,31545,14700,3532,10000000,50000
2020-12-03,product64,8,56900,455200,262317,21633,31737,17857,333544,121656,56747,10000000,50000
2020-11-20,product65,2,35135,70270,39640,1333,2563,2926,46462,23808,5275,10000000,50000
2020-07-03,product66,3,43925,131775,86042,3292,4090,4406,97830,33945,17319,10000000,50000
2020-12-22,product67,6,36819,220914,132582,4021,16513,4719,157835,63079,31463,10000000,50000
2020-12-12,product68,3,37754,113262,57423,4729,3976,4333,70461,42801,8339,10000000,50000
2020-01-28,product69,6,37917,227502,156160,4857,9782,5851,176650,50852,28764,10000000,50000
2020-05-11,product70,2,43120,86240,50195,3989,6418,3406,64008,22232,12685,10000000,50000
2020-09-24,product71,9,74694,672246,437705,31712,48786,19110,537313,134933,63819,10000000,50000
2020-01-12,product72,4,13980,55920,31521,2025,3883,2731,40160,15760,6110,10000000,50000
2020-12-19,product73,5,28648,143240,98889,5206,10389,5087,119571,23669,16337,10000000,50000
2020-04-09,product74,2,61574,123148,67185,3522,6856,4129,81692,41456,8757,10000000,50000
2020-01-29,product75,9,16736,150624,86963,5289,8092,6615,106959,43665,12671,10000000,50000
2020-04-04,product76,10,6966,69660,42118,1980,3071,1554,48723,20937,6962,10000000,50000
2020-08-17,product77,9,53052,477468,284781,20257,32255,10390,347683,129785,46541,10000000,50000
2020-12-30,product78,2,28424,56848,35917,1217,3992,2724,43850,12998,6432,10000000,50000
2020-05-10,product79,3,43297,129891,66725,2682,5806,3157,78370,51521,15006,10000000,50000
2020-12-08,product80,8,42222,337776,200133,10318,14550,9179,234180,103596,44105,10000000,50000
2020-03-01,product81,2,65667,131334,78865,6173,5528,4690,95256,36078,17361,10000000,50000
2020-12-23,product82,10,68253,682530,371356,17417,47984,23544,460301,222229,64897,10000000,50000
2020-08-18,product83,10,15367,153670,89271,2571,11908,5001,108751,44919,20551,10000000,50000
2020-02-14,product84,7,70017,490119,288067,9792,28245,17496,343600,146519,54264,10000000,50000
2020-12-28,product85,3,20519,61557,36197,1195,3033,2920,43345,18212,7952,10000000,50000
2020-12-08,product86,2,54767,109534,60956,2092,4151,5243,72442,37092,13147,10000000,50000
2020-09-14,product87,2,29968,59936,32318,1910,3993,1805,40026,19910,6965,10000000,50000
2020-12-04,product88,3,53034,159102,91049,5910,5200,6504,108663,50439,19120,10000000,50000
2020-01-12,product89,9,88608,797472,490149,15652,49716,23599,579116,218356,73118,10000000,50000
2020-10-29,product90,10,37070,370700,225643,8510,29348,12212,275713,94987,41976,10000000,50000
2020-04-24,product91,3,89930,269790,173216,5416,14395,8249,201276,68514,38240,10000000,50000
2020-08-23,product92,6,71724,430344,241080,9724,33218,14187,298209,132135,48269,10000000,50000
2020-03-07,product93,4,85238,340952,196027,16223,19102,13329,244681,96271,37424,10000000,50000
2020-11-05,product94,10,18166,181660,123809,5787,7839,6269,143704,37956,19088,10000000,50000
2020-05-01,product95,7,13663,95641,55603,4140,3809,4435,67987,27654,12331,10000000,50000
2020-10-11,product96,1,87223,87223,60116,3002,5507,3599,72224,14999,11812,10000000,50000
2020-05-28,product97,5,45162,225810,131156,3528,16017,5939,156640,69170,16838,10000000,50000
2020-09-12,product98,9,95238,857142,491513,38873,63362,35520,629268,227874,102793,10000000,50000
2020-01-28,product99,2,72444,144888,74381,6362,9842,7086,97671,47217,14237,10000000,50000
2020-11-25,product100,8,18974,151792,82064,2620,10530,4201,99415,52377,19591,10000000,50000
2020-10-30,product101,10,81365,813650,562019,29673,54825,16884,663401,150249,87570,10000000,50000
2020-10-06,product102,3,39594,118782,69549,5637,6043,4063,85292,33490,9412,10000000,50000
