Date,Product_Name,Units_sold,Price,Revenue,Costs_Of_Goods,Marketing_Cost,Logistic_Cost,Other_Cost,Total_Cost,Net_Profit,Operating_Expenses,Initial_Investment,Current_Cash
2024-01-05,Premium Kurta Set,1,4500.0,4500,1320.0,330.0,330.0,220.0,2200,2300,550.0,5000000,2300
2024-01-07,Cotton Saree,1,3200.0,3200,900.0,225.0,225.0,150.0,1500,1700,375.0,5000000,4000
2024-01-09,Silk Dupatta,2,900.0,1800,480.0,120.0,120.0,80.0,800,1000,200.0,5000000,5000
2024-01-10,Embroidered Kurti,1,2800.0,2800,780.0,195.0,195.0,130.0,1300,1500,325.0,5000000,6500
2024-01-12,Bridal Lehenga,1,18000.0,18000,5100.0,1275.0,1275.0,850.0,8500,9500,2125.0,5000000,16000
2024-01-14,Casual Kurti Pack,2,1800.0,3600,1080.0,270.0,270.0,180.0,1800,1800,450.0,5000000,17800
2024-01-15,Designer Stole,3,400.0,1200,300.0,75.0,75.0,50.0,500,700,125.0,5000000,18500
2024-01-17,Anarkali Suit,1,5500.0,5500,1560.0,390.0,390.0,260.0,2600,2900,650.0,5000000,21400
2024-01-19,Printed Palazzo,2,800.0,1600,420.0,105.0,105.0,70.0,700,900,175.0,5000000,22300
2024-01-20,Festive Kurta,1,4200.0,4200,1200.0,300.0,300.0,200.0,2000,2200,500.0,5000000,24500
2024-01-22,Ethnic Jacket,1,3800.0,3800,1080.0,270.0,270.0,180.0,1800,2000,450.0,5000000,26500
2024-01-24,Handloom Dupatta,2,1100.0,2200,540.0,135.0,135.0,90.0,900,1300,225.0,5000000,27800
2024-01-26,Salwar Kameez,1,3400.0,3400,960.0,240.0,240.0,160.0,1600,1800,400.0,5000000,29600
2024-01-28,Bandhani Saree,1,5800.0,5800,1680.0,420.0,420.0,280.0,2800,3000,700.0,5000000,32600
2024-01-30,Embroidered Stole,2,750.0,1500,360.0,90.0,90.0,60.0,600,900,150.0,5000000,33500
2024-02-02,Premium Kurta Set,1,4500.0,4500,1320.0,330.0,330.0,220.0,2200,2300,550.0,5000000,35800
2024-02-04,Silk Saree,1,8500.0,8500,2400.0,600.0,600.0,400.0,4000,4500,1000.0,5000000,40300
2024-02-06,Cotton Kurti,2,1100.0,2200,600.0,150.0,150.0,100.0,1000,1200,250.0,5000000,41500
2024-02-08,Palazzo Pants,2,900.0,1800,480.0,120.0,120.0,80.0,800,1000,200.0,5000000,42500
2024-02-10,Bridal Set,1,22000.0,22000,6300.0,1575.0,1575.0,1050.0,10500,11500,2625.0,5000000,54000
2024-02-12,Casual Kurta,2,1300.0,2600,720.0,180.0,180.0,120.0,1200,1400,300.0,5000000,55400
2024-02-14,Designer Dupatta,2,1400.0,2800,720.0,180.0,180.0,120.0,1200,1600,300.0,5000000,57000
2024-02-15,Valentine Saree,1,6200.0,6200,1800.0,450.0,450.0,300.0,3000,3200,750.0,5000000,60200
2024-02-17,Embroidered Kurti,1,3200.0,3200,900.0,225.0,225.0,150.0,1500,1700,375.0,5000000,61900
2024-02-19,Ethnic Jacket,1,4200.0,4200,1200.0,300.0,300.0,200.0,2000,2200,500.0,5000000,64100
2024-02-21,Printed Saree,1,3800.0,3800,1080.0,270.0,270.0,180.0,1800,2000,450.0,5000000,66100
2024-02-23,Handloom Kurta,1,4800.0,4800,1380.0,345.0,345.0,230.0,2300,2500,575.0,5000000,68600
2024-02-25,Cotton Palazzo,3,466.67,1400,360.0,90.0,90.0,60.0,600,800,150.0,5000000,69400
2024-02-27,Silk Stole,2,950.0,1900,480.0,120.0,120.0,80.0,800,1100,200.0,5000000,70500
2024-02-29,Anarkali Suit,1,5200.0,5200,1500.0,375.0,375.0,250.0,2500,2700,625.0,5000000,73200
2024-03-02,Holi Special Kurta,2,1800.0,3600,1020.0,255.0,255.0,170.0,1700,1900,425.0,5000000,75100
2024-03-04,Premium Saree,1,9500.0,9500,2700.0,675.0,675.0,450.0,4500,5000,1125.0,5000000,80100
2024-03-06,Embroidered Set,1,6800.0,6800,1920.0,480.0,480.0,320.0,3200,3600,800.0,5000000,83700
2024-03-08,Women's Day Kurti,2,2100.0,4200,1200.0,300.0,300.0,200.0,2000,2200,500.0,5000000,85900
2024-03-10,Festive Lehenga,1,15000.0,15000,4320.0,1080.0,1080.0,720.0,7200,7800,1800.0,5000000,93700
2024-03-12,Cotton Dupatta,3,400.0,1200,300.0,75.0,75.0,50.0,500,700,125.0,5000000,94400
2024-03-14,Designer Kurta,1,5500.0,5500,1560.0,390.0,390.0,260.0,2600,2900,650.0,5000000,97300
